,plotid,center_lon,center_lat,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:grass,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Impervious Surface (no building),Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:cultivated vegetation,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Water>treated pool,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:unknown,Land Cover Elements:bush/scrub,Land Cover Elements:shadow,AOI Number
74,2800,-73.9781908787716,40.6850558694976,square,100.0,100,False,,100.0,2022-06-15 20:16,223.9 secs,,0,0.0,0.0,0,70.0,0,0.0,0.0,28.0,0.0,2.0,0,0.0,0.0,28
111,2900,-121.925035715103,37.520593150644,square,100.0,100,False,,70.0,2022-06-15 20:19,414.9 secs,,0,0.0,15.0,0,41.0,0,0.0,25.0,0.0,0.0,14.0,0,0.0,5.0,29
112,2901,-121.939207096383,37.5093516460974,square,100.0,100,False,,90.0,2022-06-15 20:11,1316.0 secs,,0,0.0,0.0,0,35.0,0,11.0,0.0,49.0,0.0,5.0,0,0.0,0.0,29
113,2902,-121.939207096383,37.513848247916,square,100.0,100,False,,100.0,2022-06-15 21:08,155.8 secs,,0,0.0,20.0,0,75.0,0,0.0,4.0,0.0,0.0,0.0,0,1.0,0.0,29
114,2903,-121.939207096383,37.5183448497346,square,100.0,100,False,,100.0,2022-06-16 00:35,493.8 secs,,0,0.0,72.0,0,20.0,0,0.0,0.0,0.0,0.0,8.0,0,0.0,0.0,29
115,2904,-121.939207096383,37.5228414515533,square,100.0,100,False,,100.0,2022-06-16 00:36,100.4 secs,,0,0.0,81.0,0,0.0,0,0.0,3.0,0.0,0.0,16.0,0,0.0,0.0,29
116,2905,-121.939207096383,37.5273380533719,square,100.0,100,False,,80.0,2022-06-16 00:39,186.1 secs,,0,0.0,29.0,0,0.0,0,0.0,0.0,7.0,0.0,59.0,0,0.0,5.0,29
117,2906,-121.939207096383,37.5318346551905,square,100.0,100,False,,92.0,2022-06-16 00:41,102.5 secs,,0,0.0,60.0,0,32.0,0,0.0,0.0,0.0,0.0,8.0,0,0.0,0.0,29
118,2907,-121.933538543871,37.5093516460974,square,100.0,100,False,,90.0,2022-06-16 00:48,396.0 secs,,0,0.0,7.0,0,33.0,0,8.0,0.0,36.0,1.0,14.0,0,1.0,0.0,29
119,2908,-121.933538543871,37.513848247916,square,100.0,100,False,,94.0,2022-06-16 00:50,139.1 secs,,0,0.0,0.0,0,29.0,0,6.0,0.0,20.0,0.0,45.0,0,0.0,0.0,29
120,2909,-121.933538543871,37.5183448497346,square,100.0,100,False,,98.0,2022-06-16 00:52,118.9 secs,,0,0.0,7.0,0,19.0,0,0.0,0.0,55.0,0.0,13.0,0,6.0,0.0,29
121,2910,-121.933538543871,37.5228414515533,square,100.0,100,False,,95.0,2022-06-16 00:53,58.8 secs,,0,0.0,67.0,0,7.0,0,0.0,0.0,0.0,0.0,26.0,0,0.0,0.0,29
122,2911,-121.933538543871,37.5273380533719,square,100.0,100,False,,100.0,2022-06-16 00:57,241.4 secs,,0,0.0,34.0,0,17.0,0,4.0,0.0,21.0,0.0,15.0,0,8.0,1.0,29
123,2912,-121.933538543871,37.5318346551905,square,100.0,100,False,,100.0,2022-06-16 00:59,123.8 secs,,0,0.0,36.0,0,31.0,0,0.0,14.0,10.0,0.0,9.0,0,0.0,0.0,29
124,2913,-121.927869991359,37.5093516460974,square,100.0,100,False,,100.0,2022-06-16 01:01,96.1 secs,,0,0.0,67.0,0,14.0,0,0.0,0.0,1.0,2.0,5.0,0,11.0,0.0,29
125,2914,-121.927869991359,37.513848247916,square,100.0,100,False,,95.0,2022-06-16 06:10,257.8 secs,,0,0.0,9.0,0,16.0,0,1.0,0.0,18.0,1.0,26.0,0,12.0,17.0,29
126,2915,-121.927869991359,37.5183448497346,square,100.0,100,False,,95.0,2022-06-16 06:12,92.0 secs,,0,0.0,63.0,0,8.0,0,0.0,0.0,26.0,0.0,0.0,0,3.0,0.0,29
127,2916,-121.927869991359,37.5228414515533,square,100.0,100,False,,100.0,2022-06-16 06:18,356.3 secs,,0,0.0,29.0,0,11.0,0,0.0,24.0,6.0,0.0,14.0,0,6.0,10.0,29
128,2917,-121.927869991359,37.5273380533719,square,100.0,100,False,,100.0,2022-06-16 06:19,52.1 secs,,0,0.0,11.0,0,2.0,0,0.0,0.0,9.0,0.0,76.0,0,0.0,2.0,29
129,2918,-121.927869991359,37.5318346551905,square,100.0,100,False,,100.0,2022-06-16 06:21,119.4 secs,,0,0.0,0.0,0,23.0,0,6.0,0.0,56.0,0.0,9.0,0,0.0,6.0,29
130,2919,-121.922201438847,37.5093516460974,square,100.0,100,False,,92.0,2022-06-16 06:40,1172.3 secs,,0,0.0,0.0,0,22.0,0,11.0,2.0,37.0,0.0,17.0,0,8.0,3.0,29
131,2920,-121.922201438847,37.513848247916,square,100.0,100,False,,92.0,2022-06-16 06:43,141.4 secs,,0,0.0,0.0,0,54.0,0,8.0,0.0,23.0,0.0,0.0,0,8.0,7.0,29
132,2921,-121.922201438847,37.5183448497346,square,100.0,100,False,,100.0,2022-06-16 06:46,178.7 secs,,0,0.0,0.0,0,37.0,0,8.0,0.0,26.0,0.0,19.0,0,10.0,0.0,29
133,2922,-121.922201438847,37.5228414515533,square,100.0,100,False,,100.0,2022-06-16 06:48,126.9 secs,,0,0.0,70.0,0,14.0,0,0.0,4.0,6.0,0.0,6.0,0,0.0,0.0,29
134,2923,-121.922201438847,37.5273380533719,square,100.0,100,False,,100.0,2022-06-16 06:50,130.8 secs,,0,0.0,40.0,0,30.0,0,0.0,0.0,11.0,0.0,15.0,0,4.0,0.0,29
135,2924,-121.922201438847,37.5318346551905,square,100.0,100,False,,100.0,2022-06-16 06:53,163.9 secs,,0,0.0,1.0,0,38.0,0,15.0,2.0,18.0,0.0,17.0,0,5.0,4.0,29
136,2925,-121.916532886335,37.5093516460974,square,100.0,100,False,,100.0,2022-06-16 06:53,9.1 secs,,0,0.0,100.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,29
