,plotid,center_lon,center_lat,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:grass,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Impervious Surface (no building),Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:cultivated vegetation,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Water>treated pool,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:unknown,Land Cover Elements:bush/scrub,Land Cover Elements:shadow,AOI Number
74,200,-77.9830849616824,39.1522501418346,square,100.0,100,False,,100.0,2022-06-19 13:12,432.7 secs,,0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0,0.0,8.0,2
75,201,-77.9975790045637,39.141008637288,square,100.0,100,False,,95.0,2022-06-19 13:16,76.7 secs,,0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
76,202,-77.9975790045637,39.1455052391066,square,100.0,100,False,,60.0,2022-06-19 13:22,318.1 secs,,0,0.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,38.0,0.0,25.0,0.0,2
77,203,-77.9975790045637,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 13:24,120.5 secs,,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,2
78,204,-77.9975790045637,39.1544984427439,square,100.0,100,False,,50.0,2022-06-19 13:30,360.2 secs,,0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,20.0,17.0,2
79,205,-77.9975790045637,39.1589950445625,square,100.0,100,False,,95.0,2022-06-19 14:43,312.2 secs,,0,0.0,43.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,2
80,206,-77.9975790045637,39.1634916463811,square,100.0,100,False,,96.0,2022-06-19 14:49,348.2 secs,,0,0.0,51.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,7.0,2
81,207,-77.9917813874112,39.141008637288,square,100.0,100,False,,100.0,2022-06-19 14:50,64.2 secs,,0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
82,208,-77.9917813874112,39.1455052391066,square,100.0,100,False,,95.0,2022-06-19 14:55,8.6 secs,,0,0.0,53.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,22.0,0.0,5.0,10.0,2
83,209,-77.9917813874112,39.1500018409253,square,100.0,100,False,,95.0,2022-06-19 15:00,300.0 secs,,0,0.0,24.0,0.0,28.0,0.0,0.0,5.0,20.0,0.0,6.0,0.0,0.0,17.0,2
